tree_id,civic_number,std_street,genus_name,species_name,cultivar_name,common_name,assigned,root_barrier,plant_area,on_street_block,on_street,neighbourhood_name,street_side_name,height_range_id,diameter,curb,date_planted,longitude,latitude,area,Month,Year
155243,501,E KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,Y,N,NA,4000,CAROLINA ST,RILEY PARK,EVEN,2,17,Y,NA,-123.092182,49.249511,van_east,NA,NA
155251,4099,CAROLINA ST,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,Y,N,NA,4000,CAROLINA ST,RILEY PARK,ODD,2,9,Y,NA,NA,NA,van_east,NA,NA
155335,501,E KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,Y,N,NA,4000,CAROLINA ST,RILEY PARK,EVEN,2,16,Y,NA,-123.092206,49.248847,van_east,NA,NA
155336,501,E KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,Y,N,NA,4000,CAROLINA ST,RILEY PARK,EVEN,2,9,Y,NA,-123.092201,49.248972,van_east,NA,NA
155531,105,E 50TH AV,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,7,100,E 50TH AV,SUNSET,ODD,2,5.5,Y,1998-03-03,-123.103305,49.224808,van_east,Mar,1998
155612,8340,PRINCE EDWARD ST,PRUNUS,VIRGINIANA,SCHUBERT,SCHUBERT CHOKECHERRY,N,N,N,8300,PRINCE EDWARD ST,SUNSET,EVEN,2,3,Y,1994-05-30,NA,NA,van_east,May,1994
155709,4494,ST. GEORGE ST,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,7,4400,ST. GEORGE ST,RILEY PARK,EVEN,2,6.5,Y,1996-12-11,-123.094086,49.244725,van_east,Dec,1996
156255,118,W KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,N,100,W KING EDWARD AV,RILEY PARK,EVEN,3,12,Y,NA,-123.107939,49.248819,van_east,NA,NA
156258,138,W KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,N,100,W KING EDWARD AV,RILEY PARK,EVEN,2,6,Y,NA,-123.108492,49.248828,van_east,NA,NA
157379,3350,DUMFRIES ST,PRUNUS,SERRULATA,PINK PERFECTION,PINK PERFECTION CHERRY,N,N,10,3300,DUMFRIES ST,KENSINGTON-CEDAR COTTAGE,EVEN,3,19,Y,NA,-123.072804,49.254842,van_east,NA,NA
157696,115,W KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,7,100,W KING EDWARD AV,RILEY PARK,ODD,2,17,Y,NA,-123.107898,49.248972,van_east,NA,NA
157698,149,W KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,7,100,W KING EDWARD AV,RILEY PARK,ODD,2,16,Y,NA,-123.10867,49.248986,van_east,NA,NA
157701,163,W KING EDWARD AV,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,7,100,W KING EDWARD AV,RILEY PARK,ODD,2,16,Y,NA,-123.109237,49.248997,van_east,NA,NA
157896,805,E PENDER ST,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,4,4700,HAWKS AV,STRATHCONA,ODD,2,8.5,Y,1995-01-03,NA,NA,van_east,Jan,1995
157915,1102,E GEORGIA ST,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,4,1100,E GEORGIA ST,STRATHCONA,EVEN,2,5,Y,1995-01-10,-123.081169,49.278181,van_east,Jan,1995
158006,1131,E PENDER ST,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,3,1100,E PENDER ST,STRATHCONA,ODD,2,4,Y,1995-01-11,-123.080411,49.280089,van_east,Jan,1995
158136,6511,PRINCE ALBERT ST,PRUNUS,SERRULATA,KWANZAN,KWANZAN FLOWERING CHERRY,N,N,5,6511,E 49TH AV,SUNSET,EVEN,2,13.75,Y,NA,NA,NA,van_east,NA,NA
158140,3682,E 47TH AV,PRUNUS,AVIUM,NA,MAZZARD CHERRY,N,N,8,3600,E 47TH AV,KILLARNEY,EVEN,4,36,Y,NA,-123.024257,49.226283,van_east,NA,NA
158631,1040,LILLOOET ST,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,3,1000,LILLOOET ST,HASTINGS-SUNRISE,EVEN,3,19,Y,1995-02-17,-123.038788,49.274881,van_east,Feb,1995
158633,1106,LILLOOET ST,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,3,1100,LILLOOET ST,HASTINGS-SUNRISE,EVEN,3,14,Y,1995-02-17,-123.038791,49.274644,van_east,Feb,1995
158655,930,LILLOOET ST,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,3,900,LILLOOET ST,HASTINGS-SUNRISE,EVEN,2,18,Y,1995-02-14,-123.038813,49.27595,van_east,Feb,1995
158656,946,LILLOOET ST,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,3,900,LILLOOET ST,HASTINGS-SUNRISE,EVEN,2,18,Y,1995-02-14,-123.038813,49.275833,van_east,Feb,1995
158658,3106,VENABLES ST,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,3,3106,LILLOOET ST,HASTINGS-SUNRISE,EVEN,2,22,Y,NA,NA,NA,van_east,NA,NA
158661,3105,CHARLES ST,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,3,1200,LILLOOET ST,HASTINGS-SUNRISE,ODD,2,3,Y,1995-02-14,-123.038808,49.273414,van_east,Feb,1995
158664,1288,LILLOOET ST,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,3,1200,LILLOOET ST,HASTINGS-SUNRISE,EVEN,3,12,Y,1995-02-14,-123.038802,49.273797,van_east,Feb,1995
159829,2120,SEMLIN DRIVE,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,5,2100,SEMLIN DRIVE,GRANDVIEW-WOODLAND,EVEN,2,6,Y,1995-03-31,-123.063825,49.265567,van_east,Mar,1995
160034,301,E 21ST AV,PRUNUS,SARGENTII,RANCHO,RANCHO SARGENT CHERRY,N,N,6,300,SOPHIA ST,RILEY PARK,EVEN,2,3,Y,1995-04-05,NA,NA,van_east,Apr,1995
160062,5484,QUEBEC ST,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,N,5400,QUEBEC ST,RILEY PARK,EVEN,2,5,Y,1995-04-06,-123.103541,49.235598,van_east,Apr,1995
160288,3170,GRAVELEY ST,PRUNUS,X YEDOENSIS,AKEBONO,AKEBONO FLOWERING CHERRY,N,N,7,3100,GRAVELEY ST,HASTINGS-SUNRISE,EVEN,3,45,Y,NA,-123.037112,49.270364,van_east,NA,NA
